deprel,rho_index,rho_macro,rho_match_loo,rho_match_loo_ci_low,rho_match_loo_ci_high,delta_match_minus_index,delta_ci_low,delta_ci_high,p_delta_two_sided,rho_match_loo_without_pt_gl,delta_without_pt_gl,shuffle_deprel_null_mean,shuffle_deprel_null_ci_low,shuffle_deprel_null_ci_high,shuffle_deprel_p_null_ge_real,shuffle_heads_null_mean,shuffle_heads_null_ci_low,shuffle_heads_null_ci_high,shuffle_heads_p_null_ge_real,long_ge6_rho_index,long_ge6_rho_macro,long_ge6_rho_match_loo,long_ge6_match_ci_low,long_ge6_match_ci_high,long_ge6_delta,long_ge6_delta_ci_low,long_ge6_delta_ci_high,long_ge6_p_delta,long_ge6_total_arcs,long_ge6_min_lang_arcs,long_ge6_max_lang_arcs
nsubj,0.1716224285714286,0.4119214761904762,0.4998497619047619,0.4579622059523809,0.5536066178571429,0.3282273333333333,0.2772542809523809,0.3766361059523809,9.999000099990002e-05,0.4788455499999999,0.34263665,0.3033215740560508,0.1724476179685771,0.4406989607876122,0.0021995600879824,0.1211309284384022,0.0868598658687419,0.1550859874701465,0.0001999600079984,0.1428659047619047,0.5441226666666666,0.446714619047619,0.3981361357142858,0.4967821142857141,0.3038487142857143,0.2404582726190476,0.3597749202380952,9.999000099990002e-05,1305,71,388
obj,0.1280037619047619,0.3516482857142857,0.5714071428571429,0.5159925154761905,0.6270848154761904,0.443403380952381,0.370604294047619,0.5058274666666667,9.999000099990002e-05,0.55776465,0.46881325,0.3016786979752526,0.1704549937421427,0.4428125264043037,0.0001999600079984,0.0907336372838795,0.0565296304834971,0.1262894761390919,0.0001999600079984,0.089660619047619,0.4402264285714286,0.4931848571428571,0.4606524369047619,0.5307157476190477,0.403524238095238,0.3348999761904761,0.4586726642857143,9.999000099990002e-05,343,11,126
case,0.0665022857142857,0.1581751904761904,0.3208472857142857,0.258461738095238,0.3965685583333334,0.254345,0.1984414702380952,0.3111318571428572,9.999000099990002e-05,0.2931182499999999,0.26899495,0.3042856110632558,0.1697456713678015,0.44374337357603,0.3925214957008598,0.0246419947758686,-0.0083113135639333,0.058420775219764,0.0001999600079984,0.0567011333333333,0.2615385333333334,0.2815544,0.2162787847689075,0.3631475907575757,0.2248532666666666,0.1719450323464912,0.2751283619230769,0.0001999800019998,43,1,20
amod,0.0897187142857142,0.2913753333333333,0.490581380952381,0.4238793166666667,0.5568141928571428,0.4008626666666666,0.3188876476190476,0.4775682428571428,9.999000099990002e-05,0.472087,0.4221936999999999,0.3014450900749713,0.1743391219625064,0.4369532438990062,0.0025994801039792,0.0457189038572032,0.0118555600906525,0.0799885884327777,0.0001999600079984,0.1300810476190476,0.3310022380952381,0.3925639047619048,0.3413157726190476,0.4435071857142856,0.2624828571428572,0.1965256833333333,0.3248496845238095,9.999000099990002e-05,78,2,43
