lang,lang_group,model_id,model_family,treebank,split,deprel,layer,head,direction,mean_attention,std_attention,n_arcs
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,5,dep_to_head,0.006365710784028197,0.06926546487958639,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,6,head_to_dep,0.03181811403185589,0.04308927559089105,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,6,dep_to_head,0.025803020831840655,0.046672276508536545,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,7,head_to_dep,0.00530062278324176,0.009791623015437404,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,7,dep_to_head,0.007740965832848889,0.016844800294474358,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,8,head_to_dep,0.030365152898215324,0.025452602885879194,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,8,dep_to_head,0.02659605399234588,0.024988980798579634,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,9,head_to_dep,0.008452282675390896,0.008356485738341824,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,9,dep_to_head,0.006295443156099763,0.007069947218100187,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,10,head_to_dep,0.010419805033102155,0.01606139435642472,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,10,dep_to_head,0.009658959021190424,0.010201186973497514,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,11,head_to_dep,0.015511020236949315,0.012239665826288867,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,11,dep_to_head,0.014179009826793314,0.011284738483802658,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,12,head_to_dep,0.029178747939517004,0.050780866377489096,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,2,12,dep_to_head,0.014120520420689366,0.016416438209725534,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,1,head_to_dep,0.022715178471854197,0.020471790978841282,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,1,dep_to_head,0.026953604396415934,0.024370431839581628,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,2,head_to_dep,0.015138034623885386,0.03332644542118811,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,2,dep_to_head,0.06384324190585175,0.056686710677032806,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,3,head_to_dep,0.0977500960058268,0.14176883119412753,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,3,dep_to_head,0.020595477634137348,0.07884454488023718,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,4,head_to_dep,0.0037974222164248684,0.02391249791166146,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,4,dep_to_head,0.06366629066874356,0.1689565250879594,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,5,head_to_dep,0.0027456667593318417,0.0037138357072014475,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,5,dep_to_head,0.0035289879068168455,0.0041426710659610766,1115
