lang,lang_group,model_id,model_family,treebank,split,deprel,layer,head,direction,mean_attention,std_attention,n_arcs
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,7,dep_to_head,0.09136867936422341,0.13118173963702956,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,8,head_to_dep,0.0073344788480536474,0.006907689891075217,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,8,dep_to_head,0.007824380415378999,0.01143706100490157,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,9,head_to_dep,0.013922646110242822,0.09672485641169605,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,9,dep_to_head,0.1298057395018471,0.24787407215111182,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,10,head_to_dep,0.012191409132922324,0.03207885614208899,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,10,dep_to_head,0.05549945681910523,0.14042178368276667,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,11,head_to_dep,0.009668641822162552,0.02819201501758177,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,11,dep_to_head,0.00739461673138352,0.010234320750414572,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,12,head_to_dep,0.008573726649403394,0.045993107502802284,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,2,12,dep_to_head,0.002612343554990319,0.02241187840736496,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,1,head_to_dep,0.017572636793064877,0.02978362867682232,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,1,dep_to_head,0.06479345443010709,0.06459305201651143,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,2,head_to_dep,0.012229919416953668,0.02945493172638663,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,2,dep_to_head,0.011750790151540867,0.017714927496419248,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,3,head_to_dep,0.00989194774168602,0.00867144668059691,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,3,dep_to_head,0.011112557722030066,0.008544778319708263,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,4,head_to_dep,0.035854568117290486,0.051481449537184296,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,4,dep_to_head,0.003904112465674833,0.009237570100301892,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,5,head_to_dep,0.006872241104691775,0.016189689082146012,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,5,dep_to_head,0.00281095694154653,0.006616869744669349,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,6,head_to_dep,0.013889845596991019,0.07328353613237426,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,6,dep_to_head,0.09587041831693034,0.18962919969868275,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,7,head_to_dep,0.033146881685287365,0.027057765661757376,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,7,dep_to_head,0.026469884167274988,0.022432030888713525,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,8,head_to_dep,0.002688638133278623,0.00792161873886114,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,8,dep_to_head,0.001980375710174425,0.005132917288416832,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,9,head_to_dep,0.01793927018185271,0.030112804053560694,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,9,dep_to_head,0.01975431005854922,0.03698614207067473,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,10,head_to_dep,0.018985536537744468,0.026024710334466926,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,10,dep_to_head,0.011474533136080503,0.018009680395827527,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,11,head_to_dep,0.1058538322141255,0.1591223505778381,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,11,dep_to_head,0.017283936035307465,0.051657624292389834,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,12,head_to_dep,0.0023632348729897214,0.003538385901379484,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,3,12,dep_to_head,0.0015576871741065706,0.0021658546073397376,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,1,head_to_dep,0.05433715720265342,0.06083947587876704,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,1,dep_to_head,0.03193398434233527,0.05119162905546684,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,2,head_to_dep,0.03052873762218478,0.036483366665474345,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,2,dep_to_head,0.023277032843450576,0.025526495866034598,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,3,head_to_dep,0.003802303930516886,0.013422523477380712,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,3,dep_to_head,0.002207239012526599,0.006385318009748926,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,4,head_to_dep,0.02815990649764593,0.02377563190375782,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,4,dep_to_head,0.03216862497405429,0.024767278767538176,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,5,head_to_dep,0.020097738168684706,0.021579435275727834,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,5,dep_to_head,0.021080463652101224,0.01915333544378028,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,6,head_to_dep,0.004647825172897548,0.0065519962339289795,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,6,dep_to_head,0.0047952207583843234,0.005316833782838989,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,7,head_to_dep,0.006615539836772846,0.010188011405117077,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,7,dep_to_head,0.006614761489543061,0.009016063305091018,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,8,head_to_dep,0.006044769593632745,0.00748137491091291,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,8,dep_to_head,0.003308830988227187,0.004285924306806835,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,9,head_to_dep,0.14149242018225902,0.26770778825256775,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,9,dep_to_head,0.01424803531994115,0.09915904126273208,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,10,head_to_dep,0.00663764341850504,0.008294196259339458,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,10,dep_to_head,0.006238986143812061,0.007375908514125327,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,11,head_to_dep,0.02624400588167452,0.05961238336546775,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,11,dep_to_head,0.06007693604823393,0.09156713424253098,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,12,head_to_dep,0.013209104969333533,0.02052296989379539,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,4,12,dep_to_head,0.00452521685095198,0.0049522107378932485,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,1,head_to_dep,0.01948412791080708,0.06976930534226121,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,1,dep_to_head,0.1266357292384811,0.17864405865336172,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,2,head_to_dep,0.025479066274139296,0.02992243741960499,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,2,dep_to_head,0.027717724529662976,0.03175005027799557,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,3,head_to_dep,0.026709029897056546,0.050085468609656444,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,3,dep_to_head,0.02556254495709658,0.04635837076172224,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,4,head_to_dep,0.009772410761055523,0.01976457322620391,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,4,dep_to_head,0.00957915067367074,0.015901518787296048,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,5,head_to_dep,0.015281154311078312,0.03154964404329642,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,5,dep_to_head,0.028912084395219383,0.05447394674677978,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,6,head_to_dep,0.009247133801059564,0.010845946511423173,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,5,6,dep_to_head,0.007660927716087949,0.00704516209540643,446
