deprel,rho_idx,rho_macro,rho_match_loo,rho_match_loo_ci,delta_match_minus_idx,delta_ci,p_delta,rho_match_without_ptgl,delta_without_ptgl,shuffle_deprel_null_mean,shuffle_deprel_null_ci,shuffle_deprel_p,shuffle_heads_null_mean,shuffle_heads_null_ci,shuffle_heads_p
nsubj,0.1716224285714286,0.4119214761904762,0.4998497619047619,[0.458; 0.554],0.3282273333333333,[0.277; 0.377],9.999000099990002e-05,0.4788455499999999,0.34263665,0.3033215740560508,[0.172; 0.441],0.0021995600879824,0.1211309284384022,[0.087; 0.155],0.0001999600079984
obj,0.1280037619047619,0.3516482857142857,0.5714071428571429,[0.516; 0.627],0.443403380952381,[0.371; 0.506],9.999000099990002e-05,0.55776465,0.46881325,0.3016786979752526,[0.170; 0.443],0.0001999600079984,0.0907336372838795,[0.057; 0.126],0.0001999600079984
case,0.0665022857142857,0.1581751904761904,0.3208472857142857,[0.258; 0.397],0.254345,[0.198; 0.311],9.999000099990002e-05,0.2931182499999999,0.26899495,0.3042856110632558,[0.170; 0.444],0.3925214957008598,0.0246419947758686,[-0.008; 0.058],0.0001999600079984
amod,0.0897187142857142,0.2913753333333333,0.490581380952381,[0.424; 0.557],0.4008626666666666,[0.319; 0.478],9.999000099990002e-05,0.472087,0.4221936999999999,0.3014450900749713,[0.174; 0.437],0.0025994801039792,0.0457189038572032,[0.012; 0.080],0.0001999600079984
