deprel,real_rho_micro_index,real_rho_macro,real_rho_micro_matched_loo,null_mean_rho_micro_matched_loo,null_ci_low,null_ci_high,real_minus_null_mean,p_null_ge_real,n_null_iterations
nsubj,0.1659293633765625,0.4450077544553125,0.491814004535354,0.30332157405605087,0.17244761796857713,0.4406989607876122,0.18849243047930314,0.0021995600879824036,5000
obj,0.1355762672618105,0.39818079410129625,0.5789568491312468,0.3016786979752526,0.1704549937421427,0.4428125264043037,0.2772781511559942,0.0001999600079984003,5000
case,0.057063709601307626,0.17421578694289425,0.3227058509821001,0.30428561106325586,0.16974567136780155,0.44374337357603,0.018420239918844228,0.3925214957008598,5000
amod,0.08974067975462488,0.32263662456557374,0.48473894450683375,0.3014450900749713,0.17433912196250648,0.43695324389900625,0.18329385443186247,0.002599480103979204,5000
