deprel,n_language_pairs,rho_micro_index,rho_macro,rho_micro_matched_loo,rho_micro_matched_loo_ci_low,rho_micro_matched_loo_ci_high,delta_loo_minus_index,delta_ci_low,delta_ci_high,p_delta_greater_than_zero,p_delta_two_sided,p_matched_loo_greater_than_zero
nsubj,20,0.13620890000000002,0.3863637,0.47884554999999995,0.45098002374999996,0.5069571587499998,0.34263665000000004,0.29899282375,0.38699907125000005,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
obj,20,0.0889514,0.3227272,0.55776465,0.5048407337499999,0.6087870849999999,0.46881325,0.4179230612499999,0.5177380637500001,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
case,20,0.024123300000000004,0.12412589999999997,0.29311824999999997,0.24750324249999997,0.33666313374999995,0.26899495,0.21906639750000004,0.3194438849999999,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
amod,20,0.049893299999999995,0.265035,0.472087,0.41243612999999996,0.5291226775000001,0.42219369999999995,0.34905274750000004,0.49255452750000006,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
