deprel,rho_micro_index,rho_macro,rho_micro_matched_loo,iteration
obj,0.08962798887078553,0.3172921012210034,0.2329034494396592,11
case,0.15179822386029224,0.4111387823729098,0.4189508679656667,11
amod,0.03511929402780706,0.06517432653855869,0.1654170128347382,11
nsubj,0.1476885465157406,0.40786134599171897,0.268210049178008,12
obj,0.038352766627689,0.12092693272436658,0.2377910089659756,12
case,0.11951970658492563,0.3104095018063976,0.4061839978712829,12
amod,0.1001704525846936,0.31003455627690185,0.262118373461403,12
nsubj,0.07194507302949596,0.3759325972061932,0.30696714197914765,13
obj,0.07911339579799372,0.2691037127281873,0.21146307817175442,13
case,0.10917337304894077,0.3273242986267269,0.32511284379925115,13
amod,0.08751440934331385,0.10959720340366434,0.2684150575409145,13
nsubj,0.1084300148792635,0.39848937496823716,0.38481503761283775,14
obj,0.09668214978215041,0.33531410267199935,0.32631252766157537,14
case,0.09558939907007116,0.19587100797291881,0.16966181413578735,14
amod,0.09570752441195696,0.23109609873469455,0.36930896605814084,14
nsubj,0.09654046729922491,0.3042333457100335,0.2915072709891674,15
obj,0.09149596409132557,0.3084085165376836,0.37127722600049695,15
case,0.06562471442915234,0.21970961600610886,0.23681553533729768,15
amod,0.08204697828406003,0.2957117066909352,0.3146309876101138,15
nsubj,0.1187161710990283,0.38622223918876697,0.3594070127941104,16
obj,0.026792392919330246,0.12484347608314553,0.29219299965513007,16
case,0.08378976626269745,0.25668719427891984,0.371874584961839,16
amod,0.1081527148379628,0.27234874842111495,0.4344121739289926,16
nsubj,0.08867632977872597,0.1970478981517057,0.29275162295739476,17
obj,0.0648358493615288,0.18865480094293657,0.2376416894900238,17
case,0.06378817534922664,0.2642428986831772,0.35630730018370155,17
amod,0.15057921856252524,0.45146547285911587,0.3028737540129919,17
nsubj,0.05730996812856844,0.18919230529031308,0.2859039329400897,18
obj,0.0987454334626418,0.2919095569741715,0.2803252525143595,18
case,0.06803728863986615,0.2752608409174066,0.29558685183902883,18
amod,0.10904469435503919,0.253032373032373,0.3186492358216496,18
nsubj,0.09886021015303934,0.3698068456817132,0.46078600964740213,19
obj,0.11846600001231698,0.3757440653828109,0.49324372706503,19
case,0.07483320607284591,0.2054094546921073,0.27486924197405344,19
amod,0.09353136147122049,0.2912641832875296,0.39613544351969254,19
nsubj,0.07337351626623209,0.24317491342497188,0.27831035777018964,20
obj,0.1275025551868443,0.33008802603064613,0.36721591151780597,20
case,0.07878491803111005,0.28497759387658234,0.2790347976535157,20
amod,0.019684236293269805,0.2131499173752695,0.13258492397103375,20
nsubj,0.05393730922823013,0.21034740879681926,0.25346193758299684,21
obj,0.11653175362782518,0.38728471603261055,0.37296514299505645,21
case,0.13746607302775585,0.40451783972412664,0.41422480710130594,21
amod,0.032056695782283325,0.19098465600049247,0.12064956301281851,21
nsubj,0.0783076499206043,0.15160607291419764,0.2734007829280326,22
obj,0.08857589169420423,0.3914394897286544,0.3275495039707177,22
case,0.09323471968610837,0.30721863587770687,0.35231915726490964,22
amod,0.05744738178203616,0.23629392927881765,0.2944391998554263,22
nsubj,0.13677960980167184,0.3966515227899176,0.40458208090728537,23
obj,0.09172875231662013,0.3331891263840005,0.3348945606263478,23
case,0.07974735183577872,0.2706443121118409,0.23711035175146739,23
amod,0.10432772472918597,0.18599595885986855,0.23453223682899338,23
nsubj,0.07104843327011486,0.14945561069328497,0.31830789080324484,24
obj,0.09361216057040136,0.3225809762677316,0.5105977367378829,24
case,0.1436252511272107,0.46971051508737377,0.5250062475709139,24
amod,0.0464856949773543,0.24804602067486436,0.2833999229565306,24
nsubj,0.07689509963463027,0.21553544212527545,0.23480459131579348,25
obj,0.09088208343380758,0.33377161760395296,0.37454250048251697,25
case,0.11081264386084132,0.2164812460267006,0.3152170191790098,25
amod,0.0657895843574241,0.2366265222791031,0.312902174774908,25
nsubj,0.07599164459218126,0.10122992925705228,0.2250223804825032,26
obj,0.10629039847922263,0.3207348736656931,0.3501698669911846,26
case,0.15646076546955945,0.3750635251305193,0.2964910287999414,26
amod,0.10870110527894332,0.2790499799515307,0.36546390575488896,26
nsubj,0.12256867322416293,0.2711965324980394,0.30304258958665753,27
obj,0.0900211999257531,0.21954070750610807,0.35561491911623533,27
case,0.029916961095643287,0.2695541362717227,0.17497212826336503,27
amod,0.12574749984387557,0.3436085810849516,0.37365975722992867,27
nsubj,0.043874572031109164,0.24819091337188212,0.2568353475790545,28
obj,0.09497265019571158,0.15720077162897222,0.24498838095534933,28
case,0.08974240974448475,0.3566242291625225,0.32978280051395575,28
amod,0.12180262719725612,0.3869145785985109,0.4443180292799547,28
nsubj,0.04136208700443849,0.26015091814524177,0.17355257184229883,29
obj,0.10500584517328447,0.4220082488959101,0.29030582250137305,29
case,0.08846757486658023,0.09046684011585096,0.2677337687362334,29
amod,0.10896526944107139,0.3264104789634055,0.33547697588686126,29
nsubj,0.05311556828479206,0.0963586144686861,0.20784050291409845,30
obj,0.08609230970120368,0.33636353391700596,0.2661348453066478,30
case,0.12444291325462739,0.3802924148023424,0.402157960233506,30
amod,0.11375133480835398,0.28106914525663607,0.24127996371172983,30
nsubj,0.08596272632243855,0.2370798931950011,0.266630495726667,31
obj,0.13043207467372706,0.31850311076143956,0.36969533362956497,31
case,0.07615138235223431,0.3136053113622276,0.26673352439682124,31
amod,0.08536517772063272,0.19954808059301923,0.3044392830693294,31
nsubj,0.05507955317530212,0.1901109158036422,0.26642441860465116,32
obj,0.09373996467791382,0.3211908537802861,0.33439214411352075,32
case,0.1617050158313795,0.4775311443906008,0.28537700408125805,32
amod,0.08389508520049893,0.19149441470689196,0.30927409633275965,32
nsubj,0.09312434884105973,0.29131695654772577,0.4108367043900201,33
obj,0.0918910485996348,0.21935910928667693,0.35875858785716463,33
case,0.06900276889529944,0.2386967475520723,0.340270245149993,33
amod,0.1776635349732677,0.46927234501199,0.4161627236713954,33
nsubj,0.09288579243267367,0.2526766825245117,0.3017654969035868,34
obj,0.03473993685397452,0.2661923297645541,0.216612114938171,34
