deprel,real_rho_micro_index,real_rho_macro,real_rho_micro_matched_loo,null_mean_rho_micro_matched_loo,null_ci_low,null_ci_high,real_minus_null_mean,p_null_ge_real,n_null_iterations
nsubj,0.1659293633765625,0.4450077544553125,0.491814004535354,0.1211309284384022,0.08685986586874195,0.1550859874701465,0.37068307609695184,0.0001999600079984003,5000
obj,0.1355762672618105,0.39818079410129625,0.5789568491312468,0.0907336372838795,0.05652963048349718,0.12628947613909197,0.4882232118473673,0.0001999600079984003,5000
case,0.057063709601307626,0.17421578694289425,0.3227058509821001,0.024641994775868654,-0.008311313563933321,0.058420775219764,0.29806385620623144,0.0001999600079984003,5000
amod,0.08974067975462488,0.32263662456557374,0.48473894450683375,0.045718903857203244,0.011855560090652535,0.0799885884327777,0.4390200406496305,0.0001999600079984003,5000
