lang_a,lang_b,deprel,weight,rho_micro_index,rho_macro,rho_micro_matched_loo
de,es,nsubj,1136,0.2025319508078129,0.5244755244755246,0.46816574230367336
de,es,obj,584,0.12401334297886021,0.44755244755244755,0.33406880475845996
de,es,case,1525,0.046101599549875416,0.2447552447552448,0.32426251909010534
de,es,amod,793,0.07756209307933445,0.3356643356643357,0.33525841974117837
de,fr,nsubj,519,0.11578249336870028,0.1188811188811189,0.3960573908849771
de,fr,obj,344,0.05432039225142674,0.3356643356643357,0.4050639016156258
de,fr,case,1309,0.006044530182461217,-0.2447552447552448,0.19290651876858775
de,fr,amod,485,0.025411944377461623,0.16083916083916086,0.3073908849770919
de,gl,nsubj,446,0.13301583473997267,0.6013986013986015,0.39743187846636124
de,gl,obj,465,0.013551965276103205,0.30069930069930073,0.4327626396591914
de,gl,case,1364,0.20298207539586852,0.21678321678321683,0.28606221364842055
de,gl,amod,572,0.035527690700104496,0.6153846153846154,0.27922996543686196
de,it,nsubj,433,0.03828068483240898,0.07692307692307693,0.5140784502853468
de,it,obj,336,-0.08722771481392172,0.1328671328671329,0.4495297805642633
de,it,case,1525,-0.048082951531227394,0.5174825174825175,0.17439112611526408
de,it,amod,585,0.046451249899525766,0.5524475524475525,0.34051925086407847
de,pt,nsubj,1115,0.10030544168475204,0.44755244755244755,0.44973876698014625
de,pt,obj,584,-0.03269833614661201,0.2447552447552448,0.4500884173297967
de,pt,case,1525,0.17024354955389437,0.06993006993006995,0.34758459930873725
de,pt,amod,793,-0.01451651796479383,0.25874125874125875,0.2875773651635721
de,ro,nsubj,740,0.1724981914637087,0.2867132867132868,0.372598665702114
de,ro,obj,584,0.09328028293545536,0.7132867132867133,0.3718511373683787
de,ro,case,1525,0.011212925006028454,-0.49650349650349657,0.10819869785387028
de,ro,amod,793,0.19070814243228038,0.6573426573426573,0.21234627441523993
es,fr,nsubj,519,0.008484044690941243,0.3426573426573427,0.4913270637408569
es,fr,obj,344,-0.013981995016477776,0.34965034965034975,0.5827787155373362
es,fr,case,1309,-0.12976448838517804,-0.23076923076923078,0.32320553010208186
es,fr,amod,485,-0.11167108753315652,-0.3356643356643357,0.5079173699863355
es,gl,nsubj,446,0.09494413632344667,0.6783216783216784,0.4999115826702033
es,gl,obj,465,0.18342978860220238,0.7272727272727274,0.6866891728960695
es,gl,case,1364,-0.03872277148139217,0.5314685314685316,0.3912868740454947
es,gl,amod,572,0.03748894783377542,0.6503496503496504,0.6411100393859015
es,it,nsubj,433,0.02893658066071859,-0.013986013986013986,0.5275379792621172
es,it,obj,336,0.05891407443131581,-0.013986013986013986,0.5339321597942288
es,it,case,1541,0.10866891728960694,0.0979020979020979,0.30950084398360256
es,it,amod,585,0.04275781689574793,0.006993006993006993,0.43284301904991557
es,pt,nsubj,1115,0.07440318302387268,0.6923076923076924,0.5120850413953862
es,pt,obj,1026,0.16914637087050882,0.6433566433566434,0.7464271360823085
es,pt,case,3378,-0.0344626637730086,0.5314685314685316,0.45237521099590067
es,pt,amod,944,0.0397998553170967,0.6783216783216784,0.6445985049433326
es,ro,nsubj,740,0.2625311470139056,0.5314685314685316,0.3997789566755084
es,ro,obj,593,0.14133912064946547,0.5734265734265735,0.6309420464592878
