deprel,rho_micro_index,rho_macro,rho_micro_matched_loo,iteration
case,0.03513044172760039,0.17421578694289425,0.029178916636727056,51
amod,0.029416316077649527,0.32263662456557374,0.01325962183421291,51
nsubj,0.14157771100732366,0.4450077544553125,0.10430948311418206,52
obj,0.0915564350764899,0.39818079410129625,0.08085842120415053,52
case,0.01611235984131735,0.17421578694289425,0.012109072075801535,52
amod,0.05527348547421329,0.32263662456557374,0.06455177007756345,52
nsubj,0.1337182045290601,0.4450077544553125,0.11936992693584172,53
obj,0.09176129069795208,0.39818079410129625,0.09956228208861306,53
case,0.06679403383198276,0.17421578694289425,0.003118975987480464,53
amod,0.06865947392344281,0.32263662456557374,0.05755978586097004,53
nsubj,0.12846002901509376,0.4450077544553125,0.1548816148007225,54
obj,0.10290966079560801,0.39818079410129625,0.10809489619455716,54
case,0.014409616349526467,0.17421578694289425,-0.006138110283279048,54
amod,0.05548275085632906,0.32263662456557374,0.04151135775397749,54
nsubj,0.10137913465568693,0.4450077544553125,0.11045939202933765,55
obj,0.05996275306475855,0.39818079410129625,0.09466186509109607,55
case,0.05556386903258207,0.17421578694289425,0.04554032715267774,55
amod,0.05080790746189594,0.32263662456557374,0.07781461798265306,55
nsubj,0.16880984636596022,0.4450077544553125,0.10871951544034038,56
obj,0.10048190051183846,0.39818079410129625,0.06892095964920956,56
case,0.0071984329107792,0.17421578694289425,-0.0009030435234884339,56
amod,0.005863215301223638,0.32263662456557374,0.030780499867619757,56
nsubj,0.12127936606981911,0.4450077544553125,0.11992716912859924,57
obj,0.10001549615440107,0.39818079410129625,0.08424399357435715,57
case,-0.002349824893049929,0.17421578694289425,0.03625248038709588,57
amod,-0.003971116949726703,0.32263662456557374,0.026544748724967173,57
nsubj,0.1250765399716285,0.4450077544553125,0.1279221679731053,58
obj,0.1077265000425439,0.39818079410129625,0.09401571316194025,58
case,0.005056748559317847,0.17421578694289425,0.004181619253248717,58
amod,0.043904970643682914,0.32263662456557374,0.049027928692423554,58
nsubj,0.1075785811512324,0.4450077544553125,0.09407886408797485,59
