file,rows,status,description
revision_tables/controls_regen/main_head_matching_summary.csv,4,ok,Main mono/test/head_to_dep summary used as baseline for controls.
revision_tables/controls_regen/main_pairwise_head_matching.csv,84,ok,Main pairwise correlations used for pair-level controls.
revision_tables/controls_regen/without_french_control.csv,16,ok,All languages vs. French/CamemBERT excluded.
revision_tables/controls_regen/train_test_stability.csv,16,ok,Train vs. test stability of aggregate metrics.
revision_tables/controls_regen/direction_control.csv,16,ok,Main attention direction vs. alternative direction.
revision_tables/controls_regen/mono_vs_mbert_control.csv,16,ok,Monolingual models vs. mBERT profiles.
revision_tables/controls_regen/without_pt_gl_pair.csv,32,ok,Pairwise aggregate metrics with and without the Portuguese--Galician pair.
revision_tables/controls_regen/romance_vs_german_control.csv,32,ok,Romance--Romance excluding PT--GL vs. German--Romance pair groups.
revision_tables/controls_regen/galician_two_models_control.csv,4,ok,Two independently trained Galician BERT models.
