deprel,n_language_pairs,rho_micro_index,rho_macro,rho_micro_matched_loo,rho_micro_matched_loo_ci_low,rho_micro_matched_loo_ci_high,delta_loo_minus_index,delta_ci_low,delta_ci_high,p_delta_greater_than_zero,p_delta_two_sided,p_matched_loo_greater_than_zero
nsubj,21,0.14853880952380955,0.36297028571428575,0.5399482380952381,0.5036419511904763,0.586978175,0.39140942857142863,0.3418183476190476,0.43506058690476196,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
obj,21,0.12343338095238097,0.366300380952381,0.5974061904761905,0.5494181821428571,0.6472908583333332,0.4739728095238096,0.40208682976190474,0.5328321238095236,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
case,21,0.06432847619047619,0.14618709523809525,0.33999033333333334,0.2761501595238095,0.4136531809523809,0.2756618571428572,0.21180127738095242,0.33652202142857135,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
amod,21,0.0892064761904762,0.27905433333333335,0.5096721428571428,0.4429317428571429,0.574548957142857,0.4204656666666667,0.3364469345238095,0.4983135309523809,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
