deprel,n_language_pairs,rho_micro_index,rho_macro,rho_micro_matched_loo,rho_micro_matched_loo_ci_low,rho_micro_matched_loo_ci_high,delta_loo_minus_index,delta_ci_low,delta_ci_high,p_delta_greater_than_zero,p_delta_two_sided,p_matched_loo_greater_than_zero
nsubj,21,0.15537190476190474,0.5484515714285715,0.5593747142857143,0.513533392857143,0.6063953952380952,0.4040028095238095,0.34468212619047617,0.45328175833333334,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
obj,21,0.135824,0.4005993333333333,0.5741807142857142,0.5253186892857141,0.6243392821428572,0.4383567142857144,0.37737123809523804,0.4842304273809524,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
case,21,0.06198904761904761,0.34299028571428575,0.37923604761904767,0.3349586119047619,0.42342840238095236,0.31724699999999995,0.2331620488095238,0.38800492023809524,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
amod,21,0.11303519047619046,0.5238095714285714,0.47870790476190483,0.4264498345238095,0.5334035666666667,0.3656727142857143,0.2929813642857143,0.4337126726190476,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
