deprel,n_language_pairs,rho_micro_index,rho_macro,rho_micro_matched_loo,rho_micro_matched_loo_ci_low,rho_micro_matched_loo_ci_high,delta_loo_minus_index,delta_ci_low,delta_ci_high,p_delta_greater_than_zero,p_delta_two_sided,p_matched_loo_greater_than_zero
nsubj,21,0.1406098550976139,0.5677595635574838,0.4563480798264641,0.4140664721105712,0.4940855565787099,0.3157382247288503,0.2618531465536049,0.35813302749010345,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
obj,21,0.11277265674603174,0.4621767242063492,0.502183005952381,0.46778057957955954,0.5384395961427492,0.3894103492063492,0.3260723437467169,0.43805939790500925,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
case,21,0.01898151111111111,0.35384631111111114,0.27489406666666666,0.21140221245918364,0.34265723121345026,0.25591255555555564,0.18128159212962966,0.3200845192560976,0.00019998000199980003,0.00019998000199980003,9.999000099990002e-05
amod,21,0.13851960606060607,0.3211131919191919,0.4140286868686868,0.3567957579084967,0.4700312495074513,0.2755090808080808,0.19519855350807727,0.3453275571463494,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
