deprel,n_language_pairs,rho_micro_index,rho_macro,rho_micro_matched_loo,rho_micro_matched_loo_ci_low,rho_micro_matched_loo_ci_high,delta_loo_minus_index,delta_ci_low,delta_ci_high,p_delta_greater_than_zero,p_delta_two_sided,p_matched_loo_greater_than_zero
nsubj,21,0.16592931024819857,0.44500783410728595,0.49181402530024027,0.4561176142285207,0.5377832177160752,0.3258847150520417,0.2765658236972784,0.37387066366200955,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
obj,21,0.13557620742677826,0.39818075962343097,0.5789568378661087,0.5116859711101077,0.6429341777107361,0.4433806304393305,0.3621339790252282,0.5089976437335919,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
case,21,0.057063706815493345,0.1742158441869635,0.32270596793957956,0.25794502704030936,0.3937756798282562,0.2656422611240863,0.2019922939606352,0.32846226673279555,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
amod,21,0.08974068950621882,0.32263664526699926,0.48473889640277046,0.41639500533034124,0.5515888977356012,0.3949982068965517,0.31204316695366957,0.4708183995618518,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
